DOID:3692 DOID:8119
DOID:3690 DOID:10383
DOID:3690 DOID:8443
DOID:3697 DOID:11557
DOID:3697 DOID:9736
DOID:3697 DOID:3696
DOID:3696 DOID:3728
DOID:12365 DOID:14067
DOID:12365 DOID:14069
DOID:12365 DOID:14068
DOID:12365 DOID:12978
DOID:12365 DOID:14324
DOID:12365 DOID:12919
DOID:3478 DOID:4352
DOID:3478 DOID:6994
DOID:2876 DOID:3752
DOID:2870 DOID:7293
DOID:2870 DOID:5299
DOID:2870 DOID:7436
DOID:2870 DOID:3707
DOID:2870 DOID:7289
DOID:2870 DOID:6865
DOID:2870 DOID:6777
DOID:2871 DOID:2870
DOID:0070003 DOID:4765
DOID:0070004 DOID:4972
DOID:0070004 DOID:4971
DOID:0070004 DOID:2226
DOID:0070004 DOID:9538
DOID:0070004 DOID:0080164
DOID:2253 DOID:9681
DOID:2253 DOID:2251
DOID:2253 DOID:8991
DOID:2253 DOID:0060325
DOID:2253 DOID:4362
DOID:2253 DOID:361
DOID:2253 DOID:2568
DOID:2253 DOID:9043
DOID:2253 DOID:3456
DOID:2256 DOID:0080038
DOID:2256 DOID:0050680
DOID:2256 DOID:0080019
DOID:2256 DOID:0060569
DOID:2256 DOID:13481
DOID:2256 DOID:13994
DOID:2256 DOID:0060387
DOID:2256 DOID:4258
DOID:2256 DOID:0050775
DOID:2256 DOID:14798
DOID:2256 DOID:0060288
DOID:2256 DOID:12721
DOID:2256 DOID:0090032
DOID:2256 DOID:0050690
DOID:2256 DOID:4480
DOID:2256 DOID:0080026
DOID:2256 DOID:0080027
DOID:2256 DOID:0080043
DOID:2256 DOID:0080041
DOID:2256 DOID:0080047
DOID:2256 DOID:0080044
DOID:2256 DOID:0080045
DOID:2256 DOID:0080049
DOID:2256 DOID:14687
DOID:2256 DOID:0050767
DOID:2256 DOID:12347
DOID:2256 DOID:0050648
DOID:2256 DOID:0060847
DOID:2256 DOID:0090004
DOID:2256 DOID:0060608
DOID:2256 DOID:0060465
DOID:2256 DOID:0060462
DOID:83 DOID:0110255
DOID:83 DOID:13328
DOID:83 DOID:0110259
DOID:83 DOID:0110258
DOID:83 DOID:0110251
DOID:83 DOID:0110250
DOID:83 DOID:0110253
DOID:83 DOID:0110252
DOID:83 DOID:0050537
DOID:83 DOID:0110254
DOID:83 DOID:0110257
DOID:83 DOID:0110256
DOID:83 DOID:0110272
DOID:83 DOID:0110271
DOID:83 DOID:0110264
DOID:83 DOID:0110239
DOID:83 DOID:0110238
DOID:83 DOID:0110237
DOID:83 DOID:0110236
DOID:83 DOID:0110235
DOID:83 DOID:0110234
DOID:83 DOID:0110233
DOID:83 DOID:0110232
DOID:83 DOID:0110231
DOID:83 DOID:0110230
DOID:83 DOID:0110265
DOID:83 DOID:9669
DOID:83 DOID:82
DOID:83 DOID:0110249
DOID:83 DOID:0110246
DOID:83 DOID:0110247
DOID:83 DOID:0110244
DOID:83 DOID:0110245
DOID:83 DOID:0110242
DOID:83 DOID:0110243
DOID:83 DOID:0110240
DOID:83 DOID:0110241
DOID:83 DOID:0110260
DOID:83 DOID:0110262
DOID:83 DOID:0110263
DOID:83 DOID:0110228
DOID:83 DOID:0110229
DOID:83 DOID:0110266
DOID:83 DOID:0110267
DOID:83 DOID:0110268
DOID:83 DOID:0110269
DOID:83 DOID:0110227
DOID:784 DOID:783
DOID:786 DOID:11527
DOID:786 DOID:3437
DOID:786 DOID:9011
DOID:780 DOID:3891
DOID:780 DOID:12215
DOID:780 DOID:0050697
DOID:780 DOID:11060
DOID:780 DOID:8488
DOID:780 DOID:9667
DOID:7757 DOID:7756
DOID:1756 DOID:1757
DOID:1756 DOID:13501
DOID:1756 DOID:14075
DOID:1756 DOID:13934
DOID:1756 DOID:9210
DOID:1756 DOID:13865
DOID:1756 DOID:1761
DOID:1752 DOID:6992
DOID:1752 DOID:6037
DOID:0060519 DOID:0040037
DOID:0060519 DOID:0040003
DOID:0060519 DOID:0040033
DOID:0060519 DOID:0040004
DOID:0060519 DOID:0060520
DOID:0060513 DOID:0060518
DOID:0060513 DOID:0060516
DOID:0060513 DOID:0060517
DOID:0060513 DOID:0060514
DOID:0060513 DOID:0060515
DOID:4896 DOID:4947
DOID:4896 DOID:3698
DOID:4896 DOID:7032
DOID:4896 DOID:4075
DOID:13141 DOID:13140
DOID:13141 DOID:12030
DOID:13141 DOID:12732
DOID:13148 DOID:13690
DOID:4851 DOID:6812
DOID:687 DOID:5789
DOID:687 DOID:5798
DOID:5327 DOID:12514
DOID:3713 DOID:3605
DOID:3713 DOID:3606
DOID:3713 DOID:5304
DOID:3713 DOID:4894
DOID:3713 DOID:5744
DOID:3713 DOID:5828
DOID:10493 DOID:13774
DOID:1787 DOID:1869
DOID:1787 DOID:10507
DOID:1787 DOID:10234
DOID:1787 DOID:11481
DOID:0050836 DOID:0090040
DOID:0050836 DOID:0050845
DOID:0050836 DOID:0050844
DOID:0050836 DOID:0050843
DOID:0050836 DOID:0050842
DOID:0050836 DOID:0050840
DOID:0050836 DOID:529
DOID:0050836 DOID:0050839
DOID:0050836 DOID:0090057
DOID:0050836 DOID:0090052
DOID:0050837 DOID:0090048
DOID:0050837 DOID:0090055
DOID:0050835 DOID:0090058
DOID:0050835 DOID:0060730
DOID:0050832 DOID:0050833
DOID:0111143 DOID:0060333
DOID:0111143 DOID:0050768
DOID:0111143 DOID:0060331
DOID:4090 DOID:4970
DOID:4090 DOID:13417
DOID:4090 DOID:0060139
DOID:4090 DOID:0060130
DOID:4090 DOID:0060131
DOID:4090 DOID:0060132
DOID:4090 DOID:0060133
DOID:4090 DOID:0060134
DOID:4090 DOID:0060135
DOID:4090 DOID:0060136
DOID:4090 DOID:0060137
DOID:4090 DOID:0060152
DOID:4090 DOID:0060150
DOID:4090 DOID:0060151
DOID:4090 DOID:0060154
DOID:4090 DOID:0060155
DOID:4090 DOID:0060148
DOID:4090 DOID:0060145
DOID:4090 DOID:0060144
DOID:4090 DOID:0060141
DOID:4090 DOID:0060140
DOID:4090 DOID:0060143
DOID:4090 DOID:0060142
DOID:3312 DOID:0060166
DOID:3312 DOID:14042
DOID:3312 DOID:845
DOID:3316 DOID:2643
DOID:3316 DOID:3850
DOID:3314 DOID:3318
DOID:3315 DOID:3616
DOID:3315 DOID:10184
DOID:3315 DOID:6284
DOID:3315 DOID:10193
DOID:3315 DOID:10192
DOID:3315 DOID:10208
DOID:3315 DOID:7014
DOID:3315 DOID:6460
DOID:6364 DOID:12783
DOID:6364 DOID:10024
DOID:13911 DOID:0110010
DOID:10935 DOID:10934
DOID:10935 DOID:11038
DOID:10935 DOID:11037
